"$20, 1 week","$20, 3 months","$20, 1 year","$20, tomorrow","$20, 1 month","$20, 6 months","$200, 1 week","$200, 3 months","$200, 1 year","$200, tomorrow","$200, 1 month","$200, 6 months",auc_20,auc_200,StudyID
19.21875,9.84375,1.09375,19.84375,19.21875,9.84375,173.4375,170.3125,98.4375,198.4375,167.1875,148.4375,0.4585616438356164,0.7183522402968037,7
19.84375,9.84375,0.15625,19.84375,9.84375,0.15625,198.4375,98.4375,1.5625,198.4375,195.3125,23.4375,0.21236265696347031,0.3092804651826484,13
19.53125,19.84375,18.90625,19.84375,19.53125,18.90625,198.4375,189.0625,176.5625,198.4375,189.0625,176.5625,0.9577393692922376,0.9059342893835616,16
19.84375,1.09375,0.78125,19.21875,1.09375,0.15625,198.4375,7.8125,1.5625,173.4375,1.5625,1.5625,0.07828017979452055,0.0610320348173516,25
19.84375,16.09375,8.59375,19.84375,17.34375,4.84375,195.3125,160.9375,82.8125,198.4375,189.0625,164.0625,0.5141053082191781,0.735382776826484,29
19.84375,19.53125,19.53125,19.84375,19.53125,19.53125,198.4375,198.4375,195.3125,198.4375,198.4375,195.3125,0.9746450485159815,0.9797035530821918,32
19.53125,19.84375,18.90625,19.84375,19.53125,19.53125,189.0625,98.4375,76.5625,198.4375,95.3125,95.3125,0.9694581192922376,0.47820169805936075,40
19.21875,14.84375,1.09375,19.84375,17.34375,16.09375,198.4375,195.3125,173.4375,198.4375,195.3125,160.9375,0.6170126997716895,0.8828481735159817,49
17.03125,9.53125,4.53125,19.84375,12.65625,4.84375,173.4375,10.9375,7.8125,198.4375,10.9375,10.9375,0.3622485017123287,0.09107805365296805,60
19.84375,13.59375,4.84375,19.84375,12.34375,5.15625,198.4375,170.3125,98.4375,192.1875,189.0625,98.4375,0.418195276826484,0.6420055650684932,63
19.84375,19.84375,4.84375,19.84375,18.90625,9.84375,198.4375,179.6875,92.1875,198.4375,95.3125,95.3125,0.6090592893835616,0.5842572773972603,152
19.84375,17.03125,9.84375,18.28125,19.53125,14.21875,73.4375,142.1875,170.3125,98.4375,142.1875,170.3125,0.7272581335616438,0.7812303795662101,76
